time,open,high,low,close,Volume,Volume MA
2019-09-29T22:00:00Z,0.6787,0.6789,0.6779,0.6783,7,69.75
2019-09-30T22:00:00Z,0.6789,0.6793,0.6712,0.6737,105,67.25
2019-10-01T22:00:00Z,0.6739,0.675,0.6708,0.6737,26,68.35
2019-10-02T22:00:00Z,0.6741,0.6781,0.674,0.6774,20,69.05
2019-10-03T22:00:00Z,0.6775,0.6799,0.6775,0.6799,5,67.95
2019-10-06T22:00:00Z,0.679,0.679,0.6762,0.6763,9,64.25
2019-10-07T22:00:00Z,0.6773,0.6773,0.6757,0.6758,10,56.85
2019-10-08T22:00:00Z,0.6758,0.6775,0.6755,0.6755,11,56.75
2019-10-09T22:00:00Z,0.6746,0.6795,0.6746,0.679,28,57.65
2019-10-10T22:00:00Z,0.6803,0.6831,0.6803,0.6828,154,65.15
2019-10-13T22:00:00Z,0.681,0.681,0.6789,0.6802,50,46.8
2019-10-14T22:00:00Z,0.6806,0.6812,0.6772,0.6782,76,50.15
2019-10-15T22:00:00Z,0.6781,0.6792,0.6755,0.6789,106,53
2019-10-16T22:00:00Z,0.6784,0.6856,0.6784,0.6851,49,54.35
2019-10-17T22:00:00Z,0.686,0.6879,0.686,0.6879,22,51.6
2019-10-20T22:00:00Z,0.6888,0.6905,0.6884,0.689,23,40.1
2019-10-21T22:00:00Z,0.6903,0.6903,0.6876,0.6879,83,41.45
2019-10-22T22:00:00Z,0.6883,0.6883,0.6878,0.6878,1,40.2
2019-10-23T22:00:00Z,0.686,0.686,0.684,0.6848,38,41.55
2019-10-24T22:00:00Z,0.6847,0.6847,0.6844,0.6844,1,41.2
2019-10-27T22:00:00Z,0.6846,0.6867,0.684,0.6863,10,41.35
2019-10-28T22:00:00Z,0.6867,0.6894,0.6867,0.6888,9,36.55
2019-10-29T22:00:00Z,0.6885,0.6914,0.6875,0.6901,60,38.25
2019-10-30T22:00:00Z,0.6923,0.6952,0.6907,0.6909,77,41.1
2019-10-31T22:00:00Z,0.6924,0.6937,0.692,0.693,47,43.2
2019-11-03T23:00:00Z,0.6928,0.6945,0.6905,0.6905,36,44.55
2019-11-04T23:00:00Z,0.6921,0.6951,0.6914,0.6914,117,49.9
2019-11-05T23:00:00Z,0.6915,0.6926,0.6897,0.6901,380,68.35
2019-11-06T23:00:00Z,0.69,0.6931,0.6888,0.6921,22,68.05
2019-11-07T23:00:00Z,0.6899,0.6903,0.6873,0.6876,98,65.25
2019-11-10T23:00:00Z,0.6875,0.6885,0.6853,0.6874,113,68.4
2019-11-11T23:00:00Z,0.6866,0.6874,0.6854,0.6865,29,66.05
2019-11-12T23:00:00Z,0.6857,0.6876,0.6843,0.6851,89,65.2
2019-11-13T23:00:00Z,0.6857,0.6857,0.679,0.6805,329,79.2
2019-11-14T23:00:00Z,0.6812,0.6835,0.68,0.6833,209,88.55
2019-11-17T23:00:00Z,0.6834,0.684,0.6818,0.6831,54,90.1
2019-11-18T23:00:00Z,0.6811,0.6855,0.6811,0.6847,304,101.15
2019-11-19T23:00:00Z,0.6847,0.6847,0.6813,0.6816,88,105.5
2019-11-20T23:00:00Z,0.6815,0.683,0.6804,0.6804,168,112
2019-11-21T23:00:00Z,0.6806,0.6822,0.6801,0.6805,318,127.85
2019-11-24T23:00:00Z,0.6813,0.6818,0.6788,0.6795,748,164.75
2019-11-25T23:00:00Z,0.6797,0.6812,0.6787,0.6808,701,199.35
2019-11-26T23:00:00Z,0.6806,0.681,0.6791,0.6797,514,222.05
2019-11-28T23:00:00Z,0.679,0.6797,0.6773,0.6783,1043,270.35
2019-12-01T23:00:00Z,0.6783,0.6844,0.6782,0.684,2125,374.25
2019-12-02T23:00:00Z,0.6834,0.6879,0.6834,0.6859,3314,538.15
2019-12-03T23:00:00Z,0.6865,0.6871,0.6829,0.6868,3230,693.8
2019-12-04T23:00:00Z,0.6862,0.6868,0.6837,0.6848,8751,1112.35
2019-12-05T23:00:00Z,0.6848,0.6873,0.684,0.6854,19439,2083.2
2019-12-08T23:00:00Z,0.685,0.6854,0.6835,0.6847,34936,3825.1
2019-12-09T23:00:00Z,0.6839,0.6852,0.6815,0.683,43631,6001
2019-12-10T23:00:00Z,0.6824,0.6905,0.682,0.6904,89235,10461.3
2019-12-11T23:00:00Z,0.6887,0.6929,0.6883,0.6914,111636,16038.65
2019-12-12T23:00:00Z,0.6942,0.6951,0.6878,0.6883,151478,23596.1
2019-12-15T23:00:00Z,0.6887,0.6913,0.6883,0.6906,89036,28037.45
2019-12-16T23:00:00Z,0.6892,0.6893,0.6853,0.6864,92158,32642.65
2019-12-17T23:00:00Z,0.6863,0.688,0.6853,0.6868,62176,35736.25
2019-12-18T23:00:00Z,0.6865,0.6903,0.6864,0.6901,86759,40069.8
2019-12-19T23:00:00Z,0.6898,0.6921,0.6897,0.6917,63101,43216.45
2019-12-22T23:00:00Z,0.691,0.6943,0.6909,0.6938,54036,45902.35
2019-12-23T23:00:00Z,0.693,0.6944,0.6926,0.6938,30160,47372.95
2019-12-25T23:00:00Z,0.6933,0.6965,0.6933,0.6959,30240,48849.9
2019-12-26T23:00:00Z,0.6958,0.7002,0.6955,0.7001,87785,53213.45
2019-12-29T23:00:00Z,0.6996,0.7019,0.6992,0.7013,81688,57245.7
2019-12-30T23:00:00Z,0.7012,0.7045,0.7011,0.7038,67485,60513.7
2020-01-01T23:00:00Z,0.7024,0.7033,0.6991,0.6994,102367,65466.35
2020-01-02T23:00:00Z,0.6997,0.6999,0.6943,0.697,103832,70496.45
2020-01-05T23:00:00Z,0.6949,0.697,0.6937,0.6946,94758,74796.8
2020-01-06T23:00:00Z,0.6952,0.6952,0.6871,0.688,108237,79236.7
2020-01-07T23:00:00Z,0.688,0.6896,0.6859,0.6883,141112,84545.5
2020-01-08T23:00:00Z,0.6875,0.6891,0.686,0.6861,77314,86229.65
2020-01-09T23:00:00Z,0.6865,0.6921,0.6862,0.692,105871,87061.45
2020-01-12T23:00:00Z,0.6909,0.693,0.6905,0.6916,72044,85081.85
2020-01-13T23:00:00Z,0.6912,0.6919,0.6895,0.6914,83148,81665.35
2020-01-14T23:00:00Z,0.691,0.6926,0.6887,0.6913,70440,80735.55
2020-01-15T23:00:00Z,0.6914,0.6943,0.6897,0.6904,76664,79960.85
2020-01-16T23:00:00Z,0.6906,0.6921,0.688,0.6887,69449,80324.5
2020-01-20T23:00:00Z,0.6885,0.6898,0.6851,0.6854,125648,82268.95
2020-01-21T23:00:00Z,0.6851,0.6865,0.6836,0.6852,87192,83473.5
2020-01-22T23:00:00Z,0.6849,0.6887,0.6836,0.6848,113175,86430.45
2020-01-23T23:00:00Z,0.6848,0.6863,0.6823,0.6829,85442,89194.55
2020-01-26T23:00:00Z,0.6823,0.6823,0.6758,0.6764,96573,92511.2
2020-01-27T23:00:00Z,0.6767,0.6771,0.6744,0.6758,111032,93673.55
2020-01-28T23:00:00Z,0.6766,0.6783,0.6742,0.6767,104224,94800.35
2020-01-29T23:00:00Z,0.6754,0.6761,0.6706,0.6714,120731,97462.65
2020-01-30T23:00:00Z,0.6725,0.6735,0.6688,0.6703,131579,98923.25
2020-02-02T23:00:00Z,0.6689,0.6712,0.6687,0.6693,113479,99405.6
2020-02-03T23:00:00Z,0.6694,0.6747,0.6684,0.6742,131948,101265.1
2020-02-04T23:00:00Z,0.6744,0.6779,0.6729,0.675,107887,101247.6
2020-02-05T23:00:00Z,0.675,0.6769,0.6731,0.6735,95137,98948.85
2020-02-06T23:00:00Z,0.6735,0.674,0.6666,0.6681,106829,100424.6
2020-02-09T23:00:00Z,0.6678,0.6711,0.6671,0.6683,83478,99304.95
2020-02-10T23:00:00Z,0.6688,0.6741,0.6685,0.6719,96823,100543.9
2020-02-11T23:00:00Z,0.6719,0.6754,0.6716,0.6738,88828,100827.9
2020-02-12T23:00:00Z,0.6739,0.675,0.671,0.6728,87620,101686.9
2020-02-13T23:00:00Z,0.6721,0.6735,0.6713,0.6714,64462,101076.8
2020-02-17T23:00:00Z,0.6721,0.6737,0.6677,0.669,125741,103891.4
2020-02-18T23:00:00Z,0.6689,0.6711,0.6668,0.6676,88164,102017.2
2020-02-19T23:00:00Z,0.6678,0.6699,0.6613,0.6617,157367,105525.95
2020-02-20T23:00:00Z,0.6614,0.6642,0.6588,0.6634,139318,106833.1
2020-02-23T23:00:00Z,0.6599,0.6622,0.659,0.66,149328,110027.4
2020-02-24T23:00:00Z,0.6603,0.6625,0.6588,0.6602,131642,111780.85
2020-02-25T23:00:00Z,0.6601,0.6609,0.6545,0.656,129014,112679.95
2020-02-26T23:00:00Z,0.6551,0.6594,0.6546,0.6586,127393,113838.4
2020-02-27T23:00:00Z,0.6575,0.6588,0.6437,0.6524,240975,119850.6
2020-03-01T23:00:00Z,0.6488,0.6571,0.6486,0.6534,221050,124324.15
2020-03-02T23:00:00Z,0.6545,0.6647,0.6512,0.6598,206137,128957.05
2020-03-03T23:00:00Z,0.659,0.6629,0.6579,0.6615,122544,128486.85
2020-03-04T23:00:00Z,0.662,0.6638,0.6584,0.6594,117597,128972.35
